! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON KM)      WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=NET_FLUX_DIV        
!    X       Y        Z       -DIV(Fnet)
   0.100   0.400   0.200    0.33941E-03
   0.100   0.400   0.300    0.75124E-03
   0.100   0.400   0.400    0.12070E-02
   0.100   0.400   0.500    0.14026E-02
   0.100   0.400   0.600    0.11838E-02
   0.100   0.400   0.700    0.72557E-03
   0.100   0.400   0.800    0.32512E-03
   0.100   0.400   0.900    0.10708E-03
   0.100   0.400   1.000    0.26808E-04
   0.100   0.500   0.000    0.38621E-04
   0.100   0.500   0.100    0.16955E-03
   0.100   0.500   0.200    0.52553E-03
   0.100   0.500   0.300    0.11717E-02
   0.100   0.500   0.400    0.18836E-02
   0.100   0.500   0.500    0.21928E-02
   0.100   0.500   0.600    0.18468E-02
   0.100   0.500   0.700    0.11328E-02
   0.100   0.500   0.800    0.50620E-03
   0.100   0.500   0.900    0.16475E-03
   0.100   0.500   1.000    0.38351E-04
   0.100   0.600   0.000    0.56043E-04
   0.100   0.600   0.100    0.24019E-03
   0.100   0.600   0.200    0.74773E-03
   0.100   0.600   0.300    0.16794E-02
   0.100   0.600   0.400    0.27131E-02
   0.100   0.600   0.500    0.31580E-02
   0.100   0.600   0.600    0.26613E-02
   0.100   0.600   0.700    0.16283E-02
   0.100   0.600   0.800    0.72664E-03
   0.100   0.600   0.900    0.23796E-03
   0.100   0.600   1.000    0.57596E-04
   0.100   0.700   0.000    0.68395E-04
   0.100   0.700   0.100    0.31104E-03
   0.100   0.700   0.200    0.98424E-03
   0.100   0.700   0.300    0.22241E-02
   0.100   0.700   0.400    0.36025E-02
   0.100   0.700   0.500    0.42030E-02
   0.100   0.700   0.600    0.35377E-02
   0.100   0.700   0.700    0.21659E-02
   0.100   0.700   0.800    0.96723E-03
   0.100   0.700   0.900    0.31518E-03
   0.100   0.700   1.000    0.73025E-04
   0.100   0.800   0.000    0.83463E-04
   0.100   0.800   0.100    0.37168E-03
   0.100   0.800   0.200    0.11888E-02
   0.100   0.800   0.300    0.27093E-02
   0.100   0.800   0.400    0.44124E-02
   0.100   0.800   0.500    0.51527E-02
   0.100   0.800   0.600    0.43395E-02
   0.100   0.800   0.700    0.26509E-02
   0.100   0.800   0.800    0.11813E-02
   0.100   0.800   0.900    0.38479E-03
   0.100   0.800   1.000    0.92303E-04
   0.100   0.900   0.000    0.91626E-04
   0.100   0.900   0.100    0.41384E-03
   0.100   0.900   0.200    0.13309E-02
   0.100   0.900   0.300    0.30501E-02
   0.100   0.900   0.400    0.49797E-02
   0.100   0.900   0.500    0.58209E-02
   0.100   0.900   0.600    0.49034E-02
   0.100   0.900   0.700    0.29952E-02
   0.100   0.900   0.800    0.13335E-02
   0.100   0.900   0.900    0.43511E-03
   0.100   0.900   1.000    0.10388E-03
   0.100   1.000   0.000    0.94183E-04
   0.100   1.000   0.100    0.42618E-03
   0.100   1.000   0.200    0.13813E-02
   0.100   1.000   0.300    0.31709E-02
   0.100   1.000   0.400    0.51863E-02
   0.100   1.000   0.500    0.60618E-02
   0.100   1.000   0.600    0.51093E-02
   0.100   1.000   0.700    0.31182E-02
   0.100   1.000   0.800    0.13882E-02
   0.100   1.000   0.900    0.45062E-03
   0.100   1.000   1.000    0.10774E-03
   0.100   1.100   0.000    0.91626E-04
   0.100   1.100   0.100    0.41384E-03
   0.100   1.100   0.200    0.13309E-02
   0.100   1.100   0.300    0.30501E-02
   0.100   1.100   0.400    0.49797E-02
   0.100   1.100   0.500    0.58209E-02
   0.100   1.100   0.600    0.49034E-02
   0.100   1.100   0.700    0.29952E-02
   0.100   1.100   0.800    0.13335E-02
   0.100   1.100   0.900    0.43511E-03
   0.100   1.100   1.000    0.10388E-03
   0.100   1.200   0.000    0.83463E-04
   0.100   1.200   0.100    0.37168E-03
   0.100   1.200   0.200    0.11888E-02
   0.100   1.200   0.300    0.27093E-02
   0.100   1.200   0.400    0.44124E-02
   0.100   1.200   0.500    0.51527E-02
   0.100   1.200   0.600    0.43395E-02
   0.100   1.200   0.700    0.26509E-02
   0.100   1.200   0.800    0.11813E-02
   0.100   1.200   0.900    0.38479E-03
   0.100   1.200   1.000    0.92303E-04
   0.100   1.300   0.000    0.68395E-04
   0.100   1.300   0.100    0.31104E-03
   0.100   1.300   0.200    0.98424E-03
   0.100   1.300   0.300    0.22241E-02
   0.100   1.300   0.400    0.36025E-02
   0.100   1.300   0.500    0.42030E-02
   0.100   1.300   0.600    0.35377E-02
   0.100   1.300   0.700    0.21659E-02
   0.100   1.300   0.800    0.96723E-03
   0.100   1.300   0.900    0.31518E-03
   0.100   1.300   1.000    0.73025E-04
   0.100   1.400   0.000    0.56043E-04
   0.100   1.400   0.100    0.24019E-03
   0.100   1.400   0.200    0.74773E-03
   0.100   1.400   0.300    0.16794E-02
   0.100   1.400   0.400    0.27131E-02
   0.100   1.400   0.500    0.31580E-02
   0.100   1.400   0.600    0.26613E-02
   0.100   1.400   0.700    0.16283E-02
   0.100   1.400   0.800    0.72664E-03
   0.100   1.400   0.900    0.23796E-03
   0.100   1.400   1.000    0.57596E-04
   0.100   1.500   0.000    0.38621E-04
   0.100   1.500   0.100    0.16955E-03
   0.100   1.500   0.200    0.52553E-03
   0.100   1.500   0.300    0.11717E-02
   0.100   1.500   0.400    0.18836E-02
   0.100   1.500   0.500    0.21928E-02
   0.100   1.500   0.600    0.18468E-02
   0.100   1.500   0.700    0.11328E-02
   0.100   1.500   0.800    0.50620E-03
   0.100   1.500   0.900    0.16475E-03
   0.100   1.500   1.000    0.38351E-04
   0.100   1.600   0.000    0.27719E-04
   0.100   1.600   0.100    0.11175E-03
   0.100   1.600   0.200    0.33941E-03
   0.100   1.600   0.300    0.75124E-03
   0.100   1.600   0.400    0.12070E-02
   0.100   1.600   0.500    0.14026E-02
   0.100   1.600   0.600    0.11838E-02
   0.100   1.600   0.700    0.72557E-03
   0.100   1.600   0.800    0.32512E-03
   0.100   1.600   0.900    0.10708E-03
   0.100   1.600   1.000    0.26808E-04
   0.100   1.700   0.000    0.16098E-04
   0.100   1.700   0.100    0.68297E-04
   0.100   1.700   0.200    0.20367E-03
   0.100   1.700   0.300    0.44754E-03
   0.100   1.700   0.400    0.71422E-03
   0.100   1.700   0.500    0.83181E-03
   0.100   1.700   0.600    0.70106E-03
   0.100   1.700   0.700    0.43240E-03
   0.100   1.700   0.800    0.19461E-03
   0.100   1.700   0.900    0.64896E-04
   0.100   1.700   1.000    0.15297E-04
   0.100   1.800   0.000    0.81232E-05
   0.100   1.800   0.100    0.36260E-04
   0.100   1.800   0.200    0.11168E-03
   0.100   1.800   0.300    0.24471E-03
   0.100   1.800   0.400    0.39082E-03
   0.100   1.800   0.500    0.45302E-03
   0.100   1.800   0.600    0.38396E-03
   0.100   1.800   0.700    0.23665E-03
   0.100   1.800   0.800    0.10664E-03
   0.100   1.800   0.900    0.34304E-04
   0.100   1.800   1.000    0.76396E-05
   0.100   1.900   0.000    0.18294E-04
   0.100   1.900   0.100    0.20170E-04
   0.100   1.900   0.200    0.55776E-04
   0.100   1.900   0.300    0.12207E-03
   0.100   1.900   0.400    0.19881E-03
   0.100   1.900   0.500    0.22792E-03
   0.100   1.900   0.600    0.19544E-03
   0.100   1.900   0.700    0.11813E-03
   0.100   1.900   0.800    0.53249E-04
   0.100   1.900   0.900    0.19038E-04
   0.100   1.900   1.000    0.17104E-04
   0.200   0.000   0.000    0.18289E-04
   0.200   0.000   0.100    0.16097E-04
   0.200   0.000   0.200    0.51606E-04
   0.200   0.000   0.300    0.11375E-03
   0.200   0.000   0.400    0.18258E-03
   0.200   0.000   0.500    0.21190E-03
   0.200   0.000   0.600    0.17977E-03
   0.200   0.000   0.700    0.11037E-03
   0.200   0.000   0.800    0.49408E-04
   0.200   0.000   0.900    0.15223E-04
   0.200   0.000   1.000    0.17099E-04
   0.200   0.100   0.000    0.81479E-05
   0.200   0.100   0.100    0.36214E-04
   0.200   0.100   0.200    0.11124E-03
   0.200   0.100   0.300    0.24346E-03
   0.200   0.100   0.400    0.38885E-03
   0.200   0.100   0.500    0.45113E-03
   0.200   0.100   0.600    0.38278E-03
   0.200   0.100   0.700    0.23616E-03
   0.200   0.100   0.800    0.10650E-03
   0.200   0.100   0.900    0.34275E-04
   0.200   0.100   1.000    0.76350E-05
   0.200   0.200   0.000    0.16263E-04
   0.200   0.200   0.100    0.72474E-04
   0.200   0.200   0.200    0.21895E-03
   0.200   0.200   0.300    0.48030E-03
   0.200   0.200   0.400    0.76792E-03
   0.200   0.200   0.500    0.89260E-03
   0.200   0.200   0.600    0.75547E-03
   0.200   0.200   0.700    0.46545E-03
   0.200   0.200   0.800    0.20947E-03
   0.200   0.200   0.900    0.68628E-04
   0.200   0.200   1.000    0.15284E-04
   0.200   0.300   0.000    0.32392E-04
   0.200   0.300   0.100    0.13291E-03
   0.200   0.300   0.200    0.39924E-03
   0.200   0.300   0.300    0.87742E-03
   0.200   0.300   0.400    0.14051E-02
   0.200   0.300   0.500    0.16327E-02
   0.200   0.300   0.600    0.13809E-02
   0.200   0.300   0.700    0.84907E-03
   0.200   0.300   0.800    0.38162E-03
   0.200   0.300   0.900    0.12602E-03
   0.200   0.300   1.000    0.30609E-04
   0.200   0.400   0.000    0.52200E-04
   0.200   0.400   0.100    0.22121E-03
   0.200   0.400   0.200    0.67252E-03
   0.200   0.400   0.300    0.14850E-02
   0.200   0.400   0.400    0.23762E-02
   0.200   0.400   0.500    0.27629E-02
   0.200   0.400   0.600    0.23330E-02
   0.200   0.400   0.700    0.14351E-02
   0.200   0.400   0.800    0.64275E-03
   0.200   0.400   0.900    0.21046E-03
   0.200   0.400   1.000    0.49818E-04
   0.200   0.500   0.000    0.79181E-04
   0.200   0.500   0.100    0.34029E-03
   0.200   0.500   0.200    0.10462E-02
   0.200   0.500   0.300    0.23133E-02
   0.200   0.500   0.400    0.37111E-02
   0.200   0.500   0.500    0.43148E-02
   0.200   0.500   0.600    0.36406E-02
   0.200   0.500   0.700    0.22339E-02
   0.200   0.500   0.800    0.10014E-02
   0.200   0.500   0.900    0.32594E-03
   0.200   0.500   1.000    0.76767E-04
   0.200   0.600   0.000    0.11254E-03
