! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.275   0.000   0.650    0.10588E+00   0.45432E+00   0.37164E-01
   0.275   0.000   0.675    0.14679E+00   0.41854E+00   0.81195E-01
   0.275   0.000   0.700    0.18076E+00   0.33564E+00   0.26737E+00
   0.275   0.000   0.725    0.21680E+00   0.15048E+00   0.83632E+00
   0.275   0.000   0.750    0.26209E+00   0.16018E-01   0.10000E+01
   0.275   0.000   0.775    0.29618E+00   0.24435E-04   0.10000E+01
   0.275   0.000   0.800    0.31631E+00   0.44157E-08   0.10000E+01
   0.275   0.000   0.825    0.32647E+00   0.00000E+00   0.10000E+01
   0.275   0.000   0.850    0.33461E+00   0.00000E+00   0.10000E+01
   0.275   0.000   0.900    0.34336E+00   0.00000E+00   0.10000E+01
   0.275   0.000   0.950    0.34648E+00   0.00000E+00   0.10000E+01
   0.275   0.000   1.000    0.34521E+00   0.00000E+00   0.10000E+01
   0.330   0.000   0.000    0.16777E-01   0.41722E+00   0.38008E-05
   0.330   0.000   0.050    0.17150E-01   0.41731E+00   0.40753E-04
   0.330   0.000   0.100    0.17412E-01   0.41920E+00   0.10793E-03
   0.330   0.000   0.150    0.17595E-01   0.42418E+00   0.33431E-03
   0.330   0.000   0.200    0.17726E-01   0.43176E+00   0.95008E-03
